town,total_enrollment,frl_eligible,num_schools,frl_pct
Albany,99.0,57.0,1,57.6
Alburg,194.0,131.0,1,67.5
Arlington,489.0,166.0,3,33.9
Ascutney,262.0,75.0,1,28.6
Bakersfield,144.0,52.0,1,36.1
Barnard,72.0,7.0,1,9.7
Barnet,135.0,53.0,1,39.3
Barre,2199.0,580.0,3,26.4
Barton,162.0,93.0,1,57.4
Bellows Falls,754.0,397.0,3,52.7
Bennington,2354.0,1181.0,7,50.2
Benson,75.0,8.0,1,10.7
Berlin,194.0,69.0,1,35.6
Bethel,269.0,133.0,2,49.4
Bolton,82.0,17.0,1,20.7
Bradford,589.0,202.0,3,34.3
Braintree,81.0,36.0,1,44.4
Brandon,966.0,398.0,2,41.2
Brattleboro,1854.0,785.0,6,42.3
Bridport,63.0,18.0,1,28.6
Bristol,1032.0,211.0,2,20.4
Brookfield,71.0,15.0,1,21.1
Brownington,107.0,65.0,1,60.7
Brownsville,63.0,7.0,1,11.1
Burlington,3473.0,1677.0,10,48.3
Cabot,164.0,69.0,1,42.1
Cambridge,120.0,17.0,1,14.2
Canaan,169.0,53.0,1,31.4
Castleton,251.0,84.0,1,33.5
Charlotte,707.0,28.0,1,4.0
Chelsea,94.0,35.0,1,37.2
Chester,596.0,273.0,2,45.8
Chittenden,186.0,32.0,1,17.2
Colchester,2414.0,566.0,5,23.4
Concord,156.0,78.0,1,50.0
Cornwall,93.0,12.0,1,12.9
Coventry,122.0,75.0,1,61.5
Craftsbury Common,207.0,27.0,1,13.0
Cuttingsville,74.0,26.0,1,35.1
Danby,76.0,37.0,1,48.7
Danville,350.0,82.0,1,23.4
Derby,263.0,165.0,1,62.7
Derby Line,496.0,232.0,1,46.8
Dorset,168.0,45.0,1,26.8
Duxbury,288.0,41.0,1,14.2
East Barre,77.0,27.0,1,35.1
East Corinth,263.0,100.0,1,38.0
East Dover,90.0,21.0,1,23.3
East Dummerston,162.0,24.0,1,14.8
East Montpelier,231.0,31.0,1,13.4
Eden,127.0,64.0,1,50.4
Enosburg Falls,612.0,294.0,3,48.0
Essex Junction,3541.0,580.0,9,16.4
Fair Haven,800.0,244.0,2,30.5
Fairfax,1039.0,155.0,2,14.9
Fairfield,252.0,45.0,1,17.9
Fairlee,116.0,30.0,1,25.9
Fayston,99.0,10.0,1,10.1
Ferrisburgh,244.0,38.0,1,15.6
Franklin,140.0,60.0,1,42.9
Gilman,60.0,33.0,1,55.0
Glover,107.0,45.0,1,42.1
Grafton,46.0,21.0,1,45.7
Grand Isle,140.0,32.0,1,22.9
Greensboro,41.0,10.0,1,24.4
Guilford,141.0,32.0,1,22.7
Hardwick,542.0,169.0,2,31.2
Hartland,281.0,88.0,1,31.3
Highgate Center,273.0,87.0,1,31.9
Hinesburg,1831.0,304.0,2,16.6
Huntington,116.0,15.0,1,12.9
Hyde Park,939.0,297.0,4,31.6
Irasburg,121.0,65.0,1,53.7
Island Pond,135.0,84.0,1,62.2
Jamaica,26.0,8.0,1,30.8
Jay,80.0,34.0,1,42.5
Jeffersonville,336.0,71.0,1,21.1
Jericho,1534.0,93.0,3,6.1
Johnson,217.0,107.0,1,49.3
Killington,111.0,14.0,1,12.6
Lake Elmore,17.0,5.0,1,29.4
Lincoln,70.0,17.0,1,24.3
Londonderry,308.0,82.0,1,26.6
Lowell,86.0,59.0,1,68.6
Ludlow,87.0,38.0,1,43.7
Lyndonville,501.0,225.0,1,44.9
Manchester Center,392.0,162.0,1,41.3
Marlboro,89.0,28.0,1,31.5
Middlebury,1430.0,304.0,5,21.3
Middlesex,121.0,20.0,1,16.5
Middletown Springs,73.0,27.0,1,37.0
Milton,1459.0,379.0,3,26.0
Monkton,125.0,26.0,1,20.8
Montgomery Center,151.0,56.0,1,37.1
Montpelier,1885.0,379.0,4,20.1
Moretown,721.0,148.0,2,20.5
Morrisville,795.0,223.0,3,28.1
Mount Holly,105.0,31.0,1,29.5
New Haven,78.0,13.0,1,16.7
Newark,69.0,17.0,1,24.6
Newbury,96.0,36.0,1,37.5
Newfane,101.0,26.0,1,25.7
Newport,994.0,584.0,3,58.8
Newport Center,128.0,75.0,1,58.6
North Clarendon,532.0,176.0,2,33.1
North Hero,50.0,27.0,1,54.0
North Troy,187.0,141.0,1,75.4
Northfield,525.0,110.0,2,21.0
Norwich,351.0,23.0,1,6.6
Orford,234.0,71.0,1,30.3
Orleans,517.0,247.0,2,47.8
Orwell,140.0,42.0,1,30.0
Peacham,66.0,11.0,1,16.7
Pittsford,180.0,64.0,1,35.6
Plainfield,414.0,137.0,2,33.1
Poultney,500.0,173.0,2,34.6
Pownal,271.0,160.0,1,59.0
Proctor,280.0,105.0,2,37.5
Proctorsville,84.0,32.0,1,38.1
Putney,182.0,72.0,1,39.6
Quechee,203.0,38.0,1,18.7
Randolph,701.0,197.0,3,28.1
Reading,34.0,4.0,1,11.8
Readsboro,39.0,13.0,1,33.3
Richford,639.0,377.0,3,59.0
Richmond,677.0,66.0,2,9.7
Ripton,46.0,11.0,1,23.9
Rochester,84.0,38.0,1,45.2
Roxbury,51.0,17.0,1,33.3
Rutland,1959.0,858.0,6,43.8
Rutland Town,360.0,41.0,1,11.4
Saint Albans,3029.0,870.0,5,28.7
Saint Johnsbury,702.0,368.0,1,52.4
Salisbury,65.0,31.0,1,47.7
Saxtons River,76.0,36.0,1,47.4
Shaftsbury,245.0,90.0,1,36.7
Sharon,170.0,64.0,1,37.6
Sheffield,136.0,61.0,1,44.9
Shelburne,736.0,101.0,1,13.7
Sheldon,335.0,129.0,1,38.5
Shoreham,76.0,18.0,1,23.7
South Burlington,2700.0,444.0,5,16.4
South Hero,141.0,18.0,1,12.8
South Pomfret,91.0,12.0,1,13.2
South Royalton,356.0,154.0,2,43.3
South Strafford,126.0,29.0,1,23.0
Springfield,1219.0,616.0,5,50.5
Starksboro,106.0,31.0,1,29.2
Stockbridge,45.0,16.0,1,35.6
Stowe,790.0,61.0,3,7.7
Stramford,74.0,20.0,1,27.0
Sutton,113.0,48.0,1,42.5
Swanton,1400.0,533.0,2,38.1
Thetford,208.0,28.0,1,13.5
Tinmouth,70.0,38.0,1,54.3
Townshend,347.0,65.0,2,18.7
Tunbridge,149.0,41.0,1,27.5
Underhill Center,200.0,16.0,1,8.0
Vergennes,695.0,213.0,2,30.6
Vernon,185.0,59.0,1,31.9
Waitsfield,168.0,50.0,1,29.8
Walden,74.0,28.0,1,37.8
Wallingford,122.0,81.0,1,66.4
Wardsboro,49.0,14.0,1,28.6
Warren,142.0,27.0,1,19.0
Washington,118.0,44.0,1,37.3
Waterbury,400.0,100.0,1,25.0
Waterford,154.0,28.0,1,18.2
Waterville,81.0,31.0,1,38.3
Wells,84.0,32.0,1,38.1
Wells River,411.0,183.0,1,44.5
West Burke,189.0,47.0,1,24.9
West Charleston,117.0,66.0,1,56.4
West Fairlee,77.0,34.0,1,44.2
West Halifax,62.0,31.0,1,50.0
West Pawlet,138.0,60.0,1,43.5
West Rutland,326.0,101.0,1,31.0
Westford,201.0,27.0,1,13.4
White River Junction,1256.0,374.0,5,29.8
Whiting,96.0,41.0,1,42.7
Whitingham,193.0,74.0,1,38.3
Williamstown,522.0,210.0,2,40.2
Williston,942.0,144.0,1,15.3
Wilmington,181.0,78.0,1,43.1
Windham,22.0,3.0,1,13.6
Windsor,580.0,193.0,1,33.3
Winooski,787.0,473.0,3,60.1
Wolcott,121.0,25.0,1,20.7
Woodbury,55.0,10.0,1,18.2
Woodstock,718.0,68.0,2,9.5
Worcester,75.0,19.0,1,25.3
